,Zygote,2-cell,4-cell,8-cell,Morula,Blastocyst
Oog4,1.313228158,1.237078071,1.325978301,1.262072858,0.654931201,0.206711413
Psmd9,1.091733661,1.315988818,1.174417176,1.064755762,0.868559758,0.484544826
Sephs2,0.985923229,1.201025666,1.123075884,1.084673306,0.887893071,0.717408846
Nhlrc2,0.985635396,1.038786861,1.061925702,1.07682528,0.971694525,0.865132238
Trappc4,1.077531048,0.975754189,1.065544405,1.080972655,0.973214514,0.82698319
Ywhah,1.048530588,1.021221594,1.117839136,1.199569313,1.038409602,0.574429769
Dctpp1,1.074289479,1.251221911,1.109748537,1.054485506,0.911285034,0.598969534
Ciao1,1.1287154,1.154328381,1.093782066,1.085312595,0.895078792,0.642782766
Oas1f,1.377463453,1.151900872,1.092350382,1.299218197,0.810463117,0.268603981
Ppp2r2d,0.980657093,1.050417922,1.037898234,1.032495275,1.000525676,0.898005801
Scrn2,1.036442673,1.219287138,1.097332301,1.052147331,0.920951292,0.673839265
Arl6,0.992949464,1.124964186,1.280320117,1.038689675,0.91368315,0.649393409
Fam188a,1.202379408,1.295721287,1.206139655,1.087053524,0.847871901,0.360834227
C630004H02Rik,1.226469096,1.214497156,1.195606698,1.060219127,0.886762535,0.41644539
Tmem135,1.086683431,1.269904344,1.003850079,1.169924562,0.910325341,0.559312244
Kpnb1,1.015783643,1.003910102,1.113001809,1.105329109,0.981594291,0.780381047
Ckb,0.998016049,1.071132974,1.135808419,1.170483906,1.024074271,0.600484383
Gpx1,0.986298345,1.099998007,1.099943622,1.188585668,0.992067637,0.633106723
Ipo9,1.151382579,1.112390119,1.10061637,1.074161556,0.911628117,0.64982126
Qdpr,1.038778287,1.071757234,1.109416225,1.243429133,1.031912289,0.504706834
1300018J18Rik,1.205538372,1.071537846,1.066110759,1.085718975,0.966562353,0.604531698
Pex1,1.099614609,1.090749651,1.139824401,1.024076984,0.929866878,0.715867479
Ppox,1.001320485,1.05158417,1.051378746,0.995336026,1.000322539,0.900058035
Fam82a2,1.025236957,1.01516845,1.032810551,1.092222697,1.00223187,0.832329476
Mtmr14,1.306078087,1.219535242,1.184004412,1.152650996,0.833378272,0.304352994
Itsn1,1.096722421,1.157503234,1.078840598,1.064940574,0.919860589,0.682132586
Nlrp9c,1.111973836,1.028853784,1.115528341,1.285393355,1.03990328,0.418347405
Slc25a48,1.20414396,0.977236962,1.111122352,1.187107034,1.01997243,0.500417264
Slco4a1,0.987359095,1.053003459,1.096459758,1.118059415,0.966322802,0.77879547
Nlrp4f,1.068785852,1.098471248,1.138100077,1.289915186,1.088585773,0.316141866
Tfam,1.052944347,1.073828388,1.144481887,0.996512803,0.966130657,0.766101919
Lancl2,1.029073624,1.005319646,1.113816876,1.132940081,0.97284277,0.746007005
Fam54a,1.056047807,1.025432503,1.09755092,1.101326081,1.070365728,0.649276963
Atad1,1.17950936,1.089060813,1.076145686,1.076517961,0.948459225,0.630306957
Gm6180,1.11089954,1.082748991,1.101808397,1.054305132,0.92345259,0.726785352
Lyrm4,0.989668497,1.066326066,1.097601282,1.115311046,1.011231924,0.719861187
Fam114a2,1.014069592,1.083802595,1.104729668,1.034696237,0.933982913,0.828718997
Nudt7,1.002275736,1.135732955,1.163394428,1.171662665,1.092371628,0.434562589
Nlrp9b,1.111791807,1.03010087,1.094424762,1.254496764,1.02838213,0.480803668
Pld1,0.93752787,1.225915628,1.178637254,1.092504673,0.953958226,0.611456351
Arcn1,1.011452882,1.006846067,1.079710999,1.070618791,0.980454431,0.850916831
Sod1,1.038932104,1.056297168,1.08684181,1.154546336,1.052421127,0.610961456
Tmed10,1.067913636,1.002982578,1.041687566,1.085464771,0.965238164,0.836713287
Ogdh,0.984671486,1.050588688,1.075770471,1.039521008,1.010266969,0.839181379
Dlgap4,1.236109421,1.135386093,1.078314946,1.194907632,0.874556562,0.480725349
Rab4b,1.169400649,1.192881577,1.091431231,1.119009529,0.888027866,0.53924915
Mtap,0.967137663,1.18869884,1.114556034,1.120635619,0.913216272,0.695755573
Mtch1,1.08757159,1.129651519,1.013142207,1.098976643,0.946183091,0.724474951
Map2k1,0.977957209,1.176390876,1.178195437,1.062767541,0.917429571,0.687259366
Pafah1b2,1.053118128,1.068815396,1.267623677,1.032691673,0.95506675,0.622684377
Pcmt1,1.067102465,1.183106964,1.152122073,1.044210096,0.905879735,0.647578669
Pgs1,1.104908088,1.016883286,1.063857618,1.043203353,1.023116705,0.748030952
Pex11b,1.18781425,1.039750223,1.090705917,1.261180752,1.060226037,0.360322821
Scrn3,0.975299798,1.174809026,1.091079349,1.075032101,0.949798308,0.73398142
Atg16l1,1.209557706,1.226196712,1.164655274,1.09081833,0.883703765,0.425068215
Rabggta,0.9870164,1.054687278,1.112850608,1.073136453,1.006873087,0.765436175
Hps5,1.078657433,1.160795385,1.1792081,1.043579219,0.898096593,0.639663272
Ski,1.212918709,1.169489446,1.154022286,1.103926591,0.881822399,0.47782057
Dbil5,0.942089792,1.290206168,1.247955111,1.10512256,0.920036204,0.494590167
Adsl,1.022370688,1.031751807,1.092868957,1.112605523,1.021325921,0.719077105
Bcl2l10,0.913838106,1.365680903,1.213333192,1.225641874,0.932913136,0.348592791
Pex13,1.193429936,1.143715139,1.033018325,1.165393138,0.931356455,0.53308701
Anxa6,0.958985685,1.126379169,1.184179174,1.109202193,0.94700638,0.674247401
Lypla2,1.033043451,1.097774052,1.120391611,1.018692269,0.946486779,0.78361184
Mlycd,0.989675226,1.078431936,1.082493164,1.103562778,1.014655558,0.731181339
Pex14,1.198671785,1.09911142,1.039008013,1.137230275,1.030710526,0.495267982
AU015836,1.07975893,1.243202607,1.216669309,1.08301447,0.851765209,0.525589475
Ywhae,1.012029259,1.07652507,1.153290588,1.197926172,1.006892565,0.553336347
Kdm2b,1.1582547,1.041932817,1.105614506,1.136010585,1.078382623,0.47980477
Fbxw15,1.326338399,1.249427928,1.170750795,1.190149565,0.838934874,0.22439844
Pgk1,1.016984381,1.07171951,1.1126096,1.197035079,0.985663477,0.615987953
Tspan6,0.986385047,1.196931303,1.054783569,1.153821583,0.972913017,0.635165482
Rragc,1.10747342,1.217559196,1.078550026,1.133502394,0.882109211,0.580805753
Cmpk2,1.020403102,1.142431088,1.054602703,1.030270173,0.986323722,0.765969214
Immt,1.033385894,1.064583046,1.001025277,1.054975948,0.985047348,0.860982488
Omt2a,0.939449471,1.395111066,1.274705046,1.143202871,0.915782929,0.331748618
Hrsp12,0.977653331,1.237430725,1.104430284,1.115978424,0.944357965,0.620149274
Abcd3,1.21328392,1.119872318,1.074680713,1.097957025,1.020064496,0.474141531
Bpgm,1.054919585,1.098037546,1.171674739,1.275840063,1.037202412,0.362325656
